Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Employment_Type,Age,Monthly_Expenses,Savings_Amount,Existing_Loans,Loan_Purpose,Loan_Status
LN2000,Male,Yes,1,Graduate,Yes,222413,158285,119300,240,1,Semiurban,Business,23,25515,513930,0,Home,Approved
LN2001,Female,Yes,2,Not Graduate,No,362670,188856,79700,180,1,Urban,Government,33,71822,145558,1,Education,Approved
LN2002,Male,Yes,0,Not Graduate,No,430904,7421,23100,240,1,Rural,Private,39,56133,458456,1,Vehicle,Approved
LN2003,Male,No,0,Graduate,No,147837,17727,114300,120,1,Rural,Government,32,36972,938704,0,Personal,Approved
LN2004,Male,Yes,0,Graduate,No,360550,112418,63500,300,1,Semiurban,Business,37,52092,839148,0,Home,Approved
LN2005,Female,Yes,0,Graduate,Yes,373680,4358,111300,300,1,Urban,Business,39,31410,197646,1,Personal,Approved
LN2006,Male,No,3,Not Graduate,No,128541,65108,32600,120,0,Rural,Government,56,39522,817175,0,Vehicle,Approved
LN2007,Male,Yes,0,Not Graduate,Yes,179083,94018,92100,180,1,Semiurban,Private,47,29095,516933,0,Home,Rejected
LN2008,Male,No,3,Not Graduate,Yes,134531,124457,97000,300,1,Urban,Private,37,43047,554515,1,Personal,Rejected
LN2009,Female,No,3,Not Graduate,Yes,370856,163189,50400,360,1,Rural,Business,27,40470,767186,0,Personal,Approved
LN2010,Male,Yes,0,Graduate,Yes,466245,31910,30100,300,1,Rural,Government,33,63129,725573,0,Vehicle,Approved
LN2011,Male,No,0,Graduate,Yes,427599,126888,13700,360,0,Semiurban,Government,34,28531,121916,2,Personal,Rejected
LN2012,Male,Yes,1,Graduate,No,174744,55754,104100,120,1,Urban,Private,25,57038,771511,1,Vehicle,Rejected
LN2013,Male,No,2,Graduate,No,352859,193510,28700,120,1,Urban,Private,23,42403,309590,2,Education,Rejected
LN2014,Female,No,0,Not Graduate,No,229749,109847,118000,300,1,Rural,Private,47,62674,822378,2,Vehicle,Approved
LN2015,Male,Yes,1,Not Graduate,No,367253,160443,104000,240,1,Rural,Government,48,49122,625194,2,Education,Approved
LN2016,Female,No,1,Graduate,Yes,411412,182573,114300,360,1,Rural,Private,48,36940,836895,0,Home,Rejected
LN2017,Female,No,2,Graduate,No,331809,192018,37200,180,1,Urban,Private,36,49831,999477,0,Personal,Approved
LN2018,Female,No,3,Not Graduate,Yes,416759,38467,68200,300,1,Semiurban,Business,29,77174,124694,2,Vehicle,Approved
LN2019,Male,No,0,Graduate,No,182503,148697,61500,180,1,Semiurban,Private,28,31279,463867,2,Vehicle,Approved
LN2020,Female,No,2,Not Graduate,Yes,354346,33893,62500,300,1,Urban,Private,33,58220,905126,2,Personal,Approved
LN2021,Male,Yes,0,Graduate,Yes,185708,76329,43500,240,1,Semiurban,Government,34,72719,332152,0,Personal,Approved
LN2022,Female,No,1,Graduate,No,291184,31007,79700,240,0,Rural,Government,38,79400,120474,2,Home,Approved
LN2023,Female,Yes,1,Graduate,Yes,202471,170604,117800,240,0,Semiurban,Business,38,73051,612473,2,Home,Approved
LN2024,Female,No,3,Graduate,Yes,354225,54253,59900,240,1,Semiurban,Private,57,26477,400068,1,Vehicle,Approved
LN2025,Female,Yes,1,Graduate,No,257661,12323,99900,120,1,Semiurban,Business,42,76652,312048,1,Home,Approved
LN2026,Female,Yes,1,Graduate,Yes,261087,111335,86500,120,1,Rural,Government,29,37400,830862,0,Education,Approved
LN2027,Female,No,2,Graduate,No,260081,112356,63500,360,1,Urban,Business,26,26470,776499,1,Home,Approved
LN2028,Female,No,0,Not Graduate,No,445453,110944,26100,180,1,Rural,Government,47,22062,871412,1,Home,Approved
LN2029,Female,No,0,Not Graduate,No,488590,145282,69300,300,1,Urban,Business,37,61798,596792,1,Vehicle,Rejected
LN2030,Male,Yes,2,Not Graduate,Yes,293118,16456,25800,300,1,Urban,Business,57,78981,104970,0,Education,Approved
LN2031,Male,No,3,Not Graduate,Yes,468805,31367,15900,120,1,Urban,Private,49,73473,328910,1,Home,Approved
LN2032,Female,Yes,0,Not Graduate,Yes,257215,54624,101400,300,1,Semiurban,Business,50,39880,691232,0,Education,Approved
LN2033,Female,Yes,1,Graduate,No,106154,141178,31000,120,1,Semiurban,Private,33,54581,930354,2,Education,Rejected
LN2034,Female,Yes,0,Graduate,Yes,252876,68008,50500,360,1,Urban,Private,58,64439,454911,1,Education,Approved
LN2035,Male,No,1,Not Graduate,No,164288,125926,76300,180,1,Urban,Private,51,75408,461012,0,Personal,Approved
LN2036,Female,No,3,Graduate,No,151195,115395,119900,360,1,Semiurban,Private,44,34308,223615,1,Personal,Approved
LN2037,Male,Yes,2,Not Graduate,Yes,382725,116492,64100,240,1,Rural,Business,37,46027,982063,2,Personal,Approved
LN2038,Male,Yes,0,Not Graduate,No,392231,72240,109700,240,1,Urban,Government,35,50720,547666,0,Personal,Rejected
LN2039,Male,No,2,Graduate,Yes,281002,64315,102600,240,1,Rural,Government,31,55081,738499,0,Vehicle,Rejected
LN2040,Male,Yes,0,Graduate,Yes,264053,10756,96700,360,1,Semiurban,Government,28,29706,170494,0,Home,Approved
LN2041,Male,No,1,Graduate,Yes,169298,199083,11800,300,1,Urban,Business,58,70383,809229,2,Personal,Approved
LN2042,Female,Yes,2,Not Graduate,Yes,408311,36378,53100,180,1,Rural,Private,50,29837,583090,2,Vehicle,Approved
LN2043,Female,No,0,Graduate,Yes,306376,135327,83900,240,1,Rural,Government,24,58599,221277,2,Home,Approved
LN2044,Female,Yes,1,Not Graduate,No,139499,145556,28200,240,1,Rural,Business,36,72151,541966,0,Personal,Approved
LN2045,Female,No,2,Not Graduate,No,487960,125703,21200,240,1,Semiurban,Private,57,72592,346303,2,Home,Approved
LN2046,Female,Yes,2,Not Graduate,No,269631,56549,58000,180,1,Semiurban,Government,40,56824,61516,1,Personal,Approved
LN2047,Male,No,0,Graduate,Yes,345198,165575,93000,240,0,Rural,Private,34,53073,362636,2,Vehicle,Approved
LN2048,Female,No,0,Graduate,Yes,342997,73794,86200,180,1,Rural,Government,42,67115,865518,0,Education,Rejected
LN2049,Female,Yes,0,Not Graduate,Yes,196347,45113,57500,240,1,Semiurban,Government,58,52088,688046,1,Education,Approved
LN2050,Male,Yes,1,Graduate,No,410931,74069,86200,360,1,Rural,Government,48,48112,604768,2,Home,Rejected
LN2051,Female,No,0,Graduate,Yes,397632,136321,107000,360,1,Rural,Private,50,46299,233163,1,Vehicle,Approved
LN2052,Male,Yes,2,Graduate,No,436585,150273,111900,180,1,Semiurban,Business,41,54457,178023,1,Education,Approved
LN2053,Female,No,2,Not Graduate,No,305735,125541,26000,360,1,Rural,Private,46,78861,422339,0,Personal,Approved
LN2054,Male,Yes,0,Not Graduate,Yes,122431,189648,50000,180,1,Rural,Government,27,50063,228838,1,Education,Approved
LN2055,Female,No,0,Graduate,Yes,423825,9686,29700,360,1,Rural,Private,57,23917,875169,1,Home,Approved
LN2056,Female,No,3,Not Graduate,No,294555,53363,75900,360,0,Semiurban,Business,23,76232,321409,0,Home,Approved
LN2057,Male,No,2,Graduate,Yes,222720,97543,117000,180,1,Rural,Private,43,77763,688453,0,Vehicle,Rejected
LN2058,Male,No,1,Graduate,No,149153,131733,49800,300,1,Semiurban,Business,53,22936,693789,0,Home,Approved
LN2059,Male,No,3,Graduate,Yes,368512,175915,17700,360,1,Semiurban,Business,37,56630,823617,1,Education,Approved
LN2060,Male,No,0,Graduate,Yes,474504,95673,22300,240,1,Urban,Private,39,34506,383134,1,Education,Rejected
LN2061,Male,Yes,0,Not Graduate,No,276076,192035,17400,300,1,Urban,Government,26,48805,544670,1,Education,Approved
LN2062,Male,Yes,2,Not Graduate,Yes,319724,42828,23600,180,1,Rural,Business,57,34318,851818,0,Education,Approved
LN2063,Male,Yes,0,Not Graduate,No,474899,48604,70100,300,1,Semiurban,Private,51,68068,941150,2,Vehicle,Approved
LN2064,Male,No,1,Graduate,Yes,156985,10526,93600,120,1,Urban,Business,40,46026,873857,1,Personal,Rejected
LN2065,Female,No,2,Graduate,No,412213,68910,59900,120,0,Rural,Government,44,47672,171635,2,Personal,Rejected
LN2066,Female,No,0,Graduate,No,414470,25592,23700,360,0,Urban,Private,55,58417,748614,0,Vehicle,Rejected
LN2067,Male,No,2,Not Graduate,Yes,208737,28982,14900,360,0,Urban,Private,34,72413,270935,1,Home,Approved
LN2068,Female,Yes,0,Graduate,No,312133,207,107200,240,1,Semiurban,Private,50,78508,561566,2,Personal,Rejected
LN2069,Female,Yes,0,Not Graduate,Yes,254470,88733,35300,300,1,Semiurban,Government,57,79213,103634,1,Home,Approved
LN2070,Female,No,0,Not Graduate,Yes,329465,124982,80900,120,1,Urban,Business,43,70971,753022,1,Personal,Approved
LN2071,Female,Yes,1,Not Graduate,Yes,150861,68619,66200,360,1,Urban,Private,57,47281,923420,1,Home,Approved
LN2072,Male,Yes,1,Not Graduate,No,438041,160400,85600,300,1,Semiurban,Business,30,68442,809144,2,Vehicle,Approved
LN2073,Female,No,2,Not Graduate,No,312977,46479,64600,360,1,Rural,Business,40,48091,942769,0,Education,Rejected
LN2074,Male,Yes,0,Not Graduate,Yes,227118,151175,102100,360,1,Semiurban,Government,59,70494,542503,1,Home,Rejected
LN2075,Female,No,0,Graduate,Yes,430721,170963,68000,120,1,Urban,Private,27,58328,268599,0,Education,Approved
LN2076,Female,Yes,1,Graduate,No,296713,141826,14800,120,1,Rural,Business,36,68219,287919,0,Home,Approved
LN2077,Female,No,0,Not Graduate,Yes,109078,81437,101600,360,1,Urban,Private,41,38610,518668,2,Home,Approved
LN2078,Male,No,1,Not Graduate,Yes,424912,98540,119700,180,1,Rural,Private,30,21079,453359,2,Home,Rejected
LN2079,Female,No,0,Graduate,No,151047,72982,80300,360,0,Urban,Government,53,49850,534607,0,Home,Approved
LN2080,Male,No,2,Not Graduate,Yes,433770,102747,36000,360,1,Rural,Private,25,66751,983085,1,Home,Approved
LN2081,Female,Yes,0,Not Graduate,No,419804,186994,45500,240,1,Rural,Private,39,40590,641731,2,Education,Approved
LN2082,Male,No,0,Graduate,Yes,335458,48231,73700,240,1,Urban,Business,26,75432,341568,1,Home,Approved
LN2083,Female,No,3,Not Graduate,No,495141,29301,84200,240,1,Rural,Government,41,50951,400988,1,Education,Approved
LN2084,Male,No,1,Not Graduate,Yes,315048,193783,110900,180,0,Semiurban,Private,44,35327,878416,1,Vehicle,Rejected
LN2085,Male,Yes,0,Not Graduate,Yes,336293,172395,103000,180,1,Urban,Business,32,32755,91505,0,Personal,Approved
LN2086,Female,No,0,Graduate,No,217832,18752,74000,360,1,Semiurban,Government,58,79872,152478,1,Home,Approved
LN2087,Male,Yes,3,Graduate,Yes,492550,98452,89100,240,1,Urban,Government,43,27235,112699,0,Personal,Approved
LN2088,Female,No,3,Graduate,No,225150,144467,71100,180,1,Rural,Business,25,37197,994461,0,Education,Approved
LN2089,Female,Yes,1,Not Graduate,Yes,257087,121237,90800,120,1,Rural,Business,50,41473,468680,1,Vehicle,Rejected
LN2090,Female,Yes,3,Not Graduate,No,133320,56273,78500,360,1,Rural,Business,55,22031,950444,1,Vehicle,Approved
LN2091,Female,No,2,Graduate,No,427025,91878,28700,300,1,Urban,Business,34,61282,204721,1,Vehicle,Approved
LN2092,Female,Yes,3,Not Graduate,No,190827,4895,108400,360,1,Semiurban,Business,30,61863,871190,1,Personal,Approved
LN2093,Female,No,2,Not Graduate,No,464359,119968,64700,300,0,Semiurban,Private,52,78885,186668,0,Education,Approved
LN2094,Female,No,1,Not Graduate,Yes,359931,115700,82400,240,1,Urban,Private,28,34287,328518,1,Home,Approved
LN2095,Female,No,1,Not Graduate,Yes,496605,76559,102500,300,1,Urban,Government,25,58679,692974,1,Home,Approved
LN2096,Female,Yes,1,Not Graduate,No,423694,10699,97500,240,1,Semiurban,Private,40,64463,315919,0,Education,Approved
LN2097,Female,Yes,1,Graduate,No,124826,196133,71700,120,1,Semiurban,Private,51,52230,863820,2,Personal,Approved
LN2098,Female,No,1,Not Graduate,No,200734,9715,51300,300,1,Semiurban,Private,52,39037,435944,2,Home,Approved
LN2099,Male,No,2,Graduate,Yes,257702,19169,100200,360,1,Semiurban,Business,56,47052,857461,0,Education,Approved
LN2100,Male,Yes,2,Not Graduate,Yes,329834,118413,26200,240,1,Urban,Government,42,23340,658269,2,Home,Approved
LN2101,Female,No,1,Graduate,Yes,277235,147235,36900,360,1,Urban,Government,52,60644,365783,0,Vehicle,Approved
LN2102,Female,No,3,Not Graduate,Yes,198511,119264,73100,180,1,Rural,Government,40,68664,164010,1,Home,Rejected
LN2103,Female,No,0,Graduate,No,373797,5782,100500,240,1,Semiurban,Government,52,65203,982149,1,Personal,Rejected
LN2104,Female,Yes,1,Not Graduate,No,259033,124481,30400,300,1,Rural,Private,53,21141,605393,2,Education,Approved
LN2105,Female,Yes,3,Graduate,No,181941,35585,68100,240,1,Urban,Private,23,45425,573472,1,Personal,Approved
LN2106,Female,Yes,0,Not Graduate,Yes,305209,30682,94000,360,0,Urban,Business,31,77710,456884,2,Education,Approved
LN2107,Female,No,1,Graduate,Yes,395806,178936,69500,120,1,Rural,Government,23,39281,309021,2,Vehicle,Approved
LN2108,Female,No,1,Not Graduate,Yes,198818,129992,34900,240,1,Semiurban,Private,23,62049,197032,1,Education,Rejected
LN2109,Male,No,2,Graduate,No,252360,84416,97400,300,1,Semiurban,Private,45,40425,700807,1,Home,Approved
LN2110,Female,Yes,0,Graduate,No,353627,186186,29500,180,1,Semiurban,Business,38,54806,192429,2,Home,Approved
LN2111,Male,No,0,Not Graduate,Yes,195081,127810,78900,120,1,Semiurban,Business,53,52113,507820,1,Vehicle,Rejected
LN2112,Female,No,3,Not Graduate,No,136877,38067,119300,180,0,Rural,Business,37,24270,939171,0,Education,Rejected
LN2113,Female,No,2,Graduate,Yes,473706,173757,73800,240,1,Rural,Private,37,62814,363940,1,Vehicle,Approved
LN2114,Male,No,2,Not Graduate,Yes,311957,18073,77100,360,0,Urban,Private,52,24683,327948,1,Home,Approved
LN2115,Female,Yes,2,Graduate,No,172715,36035,104300,360,1,Semiurban,Business,45,69646,702020,0,Personal,Approved
LN2116,Male,Yes,2,Graduate,Yes,241398,196049,29800,300,1,Semiurban,Government,22,59884,719986,1,Vehicle,Approved
LN2117,Female,No,0,Graduate,No,210091,90373,59100,360,1,Semiurban,Business,32,49809,209204,1,Personal,Rejected
LN2118,Female,Yes,0,Not Graduate,Yes,232632,83362,99500,120,1,Rural,Business,42,54552,844383,2,Personal,Rejected
LN2119,Male,Yes,1,Graduate,No,441292,90517,24100,360,1,Semiurban,Business,25,72662,973953,1,Education,Rejected
LN2120,Female,No,1,Graduate,No,183186,65450,26400,300,1,Rural,Business,28,23786,331209,1,Vehicle,Approved
LN2121,Male,No,2,Not Graduate,No,262962,10382,41300,240,0,Semiurban,Private,47,41650,937935,0,Personal,Rejected
LN2122,Female,Yes,2,Not Graduate,Yes,251094,135509,12000,240,1,Semiurban,Government,33,48706,155072,2,Personal,Approved
LN2123,Male,No,2,Not Graduate,Yes,485773,195684,108300,360,1,Urban,Business,52,29190,714490,2,Education,Approved
LN2124,Male,Yes,1,Not Graduate,No,170316,61929,40400,180,1,Semiurban,Government,38,58196,139360,2,Education,Approved
LN2125,Female,No,3,Graduate,No,128380,98864,47000,240,1,Semiurban,Government,54,59449,112287,1,Home,Approved
LN2126,Female,Yes,3,Graduate,Yes,210198,143401,95200,360,1,Urban,Government,32,59661,288009,2,Personal,Rejected
LN2127,Male,No,1,Graduate,Yes,364500,25169,48300,300,1,Rural,Business,49,49709,757062,0,Home,Approved
LN2128,Female,Yes,1,Graduate,Yes,170326,87468,54400,360,0,Rural,Private,53,65429,742353,2,Personal,Approved
LN2129,Female,Yes,1,Not Graduate,No,454591,34594,52400,240,1,Semiurban,Business,22,34892,737235,0,Home,Approved
